#,id,address,city,street_with_building,apartment_number,rooms,area_m2,price,price_m2,link,img_url,created_at
196,840155,"Aiandi tn 7/3, Kadaka, Mustamäe",Tallinn,Aiandi tn 7/3,,3,63,234000,3738.02,https://kinnisvara24.ee/korter-muuk-tallinn/240840155,https://src.kv24.ee/uploads/a1/images/e507701b-df46-46e3-8bfe-8a91d501424e.jpg,2025-03-24T16:35:13.000000+02:00
197,839981,"Köleri 26/1, Kesklinna linnaosa, Tallinn, Harju maakond",Tallinn,Köleri 26/1,,2,54,96000,1764.71,https://kinnisvara24.ee/korter-muuk-tallinn/240839981,https://src.kv24.ee/uploads/a1/images/8094ff2e-9e14-499c-b164-be408db93998.jpg,2025-03-23T20:56:13.000000+02:00
198,838976,"Toom-Kuninga 24/1, Kesklinna linnaosa, Tallinn, Harju maakond",Tallinn,Toom-Kuninga tn 24/1,,1,33,100000,3076.92,https://kinnisvara24.ee/korter-muuk-tallinn/240838976,https://src.kv24.ee/uploads/a1/images/bc3eed60-a7b0-4230-a0ba-038ac3b519ed.jpg,2025-03-16T18:56:17.000000+02:00
199,838475,"Kase tn 68/2, Pirita",Tallinn,Kase tn 68/2,,4,74,220000,2981.03,https://kinnisvara24.ee/korter-muuk-tallinn/240838475,https://src.kv24.ee/uploads/a1/images/6d74e627-8961-4e8f-8136-7136845b4a35.jpg,2025-03-12T13:45:33.000000+02:00
200,837758,"Harju maakond, Tallinn, Haabersti linnaosa, Järveotsa tee 13",Tallinn,Järveotsa tee 13,,2,50,117000,2340,https://kinnisvara24.ee/korter-muuk-tallinn/240837758,https://src.kv24.ee/uploads/a1/images/a1517a47-90c9-4f0e-8372-3889207d8d45.jpg,2025-03-07T14:25:46.000000+02:00
201,837739,"Pirita tee 20/4-51, Kadriorg, Kesklinn",Tallinn,Pirita tee 20/4-51,,2,51,267000,5235.29,https://kinnisvara24.ee/korter-muuk-tallinn/240837739,https://src.kv24.ee/uploads/a1/images/5a24250a-3339-4fef-ab3b-48f77ad64f41.jpg,2025-03-07T13:25:20.000000+02:00
202,837413,"Kase tn 68/2, Pirita",Tallinn,Kase tn 68/2,,2,59,160000,2716.47,https://kinnisvara24.ee/korter-muuk-tallinn/240837413,https://src.kv24.ee/uploads/a1/images/bc15f85e-1a75-4e19-9427-c282eab55cfd.jpg,2025-03-06T22:15:36.000000+02:00
203,837338,"Kase tn 68/2, Maarjamäe, Pirita",Tallinn,Kase tn 68/2,203,3,55,185000,3394.5,https://kinnisvara24.ee/korter-muuk-tallinn/240837338,https://src.kv24.ee/uploads/a1/images/8afeada7-3c1a-4e8b-bf99-b61ee3d7327e.jpg,2025-03-06T14:15:34.000000+02:00
204,836646,"Pille tn 4/3, Kesklinn",Tallinn,Pille tn 4/3,,1,35,190000,5413.11,https://kinnisvara24.ee/korter-muuk-tallinn/240836646,https://src.kv24.ee/uploads/a1/images/06c886bc-294a-49d5-a78d-617b26118772.jpg,2025-03-03T14:25:25.000000+02:00
205,810525,"Regati, Pirita linnaosa, Tallinn, Harju maakond",Tallinn,Regati pst 10,,3,105,377000,3597.33,https://kinnisvara24.ee/korter-muuk-tallinn/240810525,https://src.kv24.ee/uploads/a1/images/25856b2d-6b28-4031-9e90-eff4110a519a.jpg,2024-09-19T14:25:45.000000+03:00
206,836473,"Harju maakond, Tallinn, Pirita linnaosa, Pärnamäe tee 60a",Tallinn,Pärnamäe tee 60a,,2,269,344000,1281.19,https://kinnisvara24.ee/korter-muuk-tallinn/240836473,https://src.kv24.ee/uploads/a1/images/411df634-4857-430d-960f-e4511eb80644.jpg,2025-03-01T23:09:59.000000+02:00
207,836204,"Harju maakond, Tallinn, Kesklinna linnaosa, Mardi tn 14/1",Tallinn,Mardi tn 14/1,,2,48,162000,3389.12,https://kinnisvara24.ee/korter-muuk-tallinn/240836204,https://src.kv24.ee/uploads/a1/images/489f56c0-5cde-42b7-91b8-3f8e3d5e5c68.jpg,2025-02-27T17:32:08.000000+02:00
208,835831,"Luise tn 18/1, Kassisaba, Kesklinn",Tallinn,Luise tn 18/1,,2,44,151050,3432.95,https://kinnisvara24.ee/korter-muuk-tallinn/240835831,https://src.kv24.ee/uploads/a1/images/5418af35-146d-4f68-bf94-48dbc9323f1f.jpg,2025-02-25T13:25:39.000000+02:00
209,835677,"Harju maakond, Tallinn, Pirita linnaosa, Padriku tee 4/7",Tallinn,Padriku tee 4/7,7,3,90,242000,2685.9,https://kinnisvara24.ee/korter-muuk-tallinn/240835677,https://src.kv24.ee/uploads/a1/images/0075ea08-dab5-424a-a8fa-1e03e6198a8f.jpg,2025-02-22T22:29:00.000000+02:00
210,835531,"Jalami tn 10/1, Haabersti",Tallinn,Jalami tn 10/1,,4,84,349000,4154.76,https://kinnisvara24.ee/korter-muuk-tallinn/240835531,https://src.kv24.ee/uploads/a1/images/68d4c35c-25d6-493f-bf62-f2540e17b575.jpg,2025-02-21T13:25:06.000000+02:00
211,835507,"Sõstra tn 4a, Lilleküla, Kristiine",Tallinn,Sõstra tn 4a,,2,48,162000,3382.05,https://kinnisvara24.ee/korter-muuk-tallinn/240835507,https://src.kv24.ee/uploads/a1/images/1b74a877-2f83-4ac2-9cdf-26b3f270ec7c.jpg,2025-02-21T12:15:11.000000+02:00
212,833897,"Järveotsa tee 35, Väike-Õismäe, Haabersti",Tallinn,Järveotsa tee 35,70,1,33,85000,2583.59,https://kinnisvara24.ee/korter-muuk-tallinn/240833897,https://src.kv24.ee/uploads/a1/images/5a8b4296-3a11-4fa8-a450-b2799f7b6286.jpg,2025-02-10T12:15:32.000000+02:00
213,833579,"Harju maakond, Tallinn, Lasnamäe linnaosa, Majaka tn 3",Tallinn,Majaka tn 3,,2,39,109400,2790.82,https://kinnisvara24.ee/korter-muuk-tallinn/240833579,https://src.kv24.ee/uploads/a1/images/7a102d5f-cc0f-4b76-b22b-ab9f75da127d.png,2025-02-07T13:02:46.000000+02:00
214,834384,"Tartu mnt 16b, Kesklinna linnaosa, Tallinn, Harju maakond",Tallinn,Tartu mnt 16b,25,5,179,640000,3577.42,https://kinnisvara24.ee/korter-muuk-tallinn/240834384,https://src.kv24.ee/uploads/a1/images/8d11a53d-57ce-47a3-b282-2c7e85658de5.jpg,2025-02-13T11:00:37.000000+02:00
215,834050,"Narva mnt 174c/4, Priisle, Lasnamäe",Tallinn,Narva mnt 174c/4,,3,92,194900,2118.48,https://kinnisvara24.ee/korter-muuk-tallinn/240834050,https://src.kv24.ee/uploads/a1/images/c9ff55ed-6d58-44cc-9b0f-19c19d8dac72.jpg,2025-02-11T05:35:18.000000+02:00
216,833418,"Harju maakond, Tallinn, Kesklinna linnaosa, Roopa tn 12b",Tallinn,Roopa tn 12b,4,5,105,379000,3609.52,https://kinnisvara24.ee/korter-muuk-tallinn/240833418,https://src.kv24.ee/uploads/a1/images/de2988f5-aa3a-491f-b57a-e4a4a035ca9f.jpg,2025-02-06T14:52:17.000000+02:00
