#,id,address,city,street_with_building,apartment_number,rooms,area_m2,price,price_m2,link,img_url,object_important_note,date_published,floor,total_floors,year_built,latitude,longitude,map_link
422,1126489,"Tallinn, Kesklinna linnaosa, Pirita tee-20/4-11",Tallinn,Pirita tee-20/4 11,,4,113.4,842000,7425,https://www.city24.ee/ru/real-estate/skip/skip/1126489,https://c24ee.img-bcg.eu/object/24/8008/5756818008.jpg,Laferme - elu mere ääres,2023-06-26T00:05:31+03:00,3,6,2025,59.4477058,24.8036719,"https://www.google.com/maps/dir//59.4477058,24.8036719/@59.4477058,24.8036719,15z/data=!4m2!4m1!3e0?entry=ttu"
423,3226070,"Tallinn, Kesklinna linnaosa, Pirita tee-20/4-12",Tallinn,Pirita tee-20/4 12,,3,97.9,737000,7528,https://www.city24.ee/ru/real-estate/skip/skip/3226070,https://c24ee.img-bcg.eu/object/24/4754/4805014754.jpg,Laferme - elu mere ääres,2023-06-26T00:05:28+03:00,3,6,2025,59.4477058,24.8036719,"https://www.google.com/maps/dir//59.4477058,24.8036719/@59.4477058,24.8036719,15z/data=!4m2!4m1!3e0?entry=ttu"
424,4318761,"Tallinn, Kesklinna linnaosa, Pirita tee-20/4-13",Tallinn,Pirita tee-20/4 13,,4,98.2,654000,6659,https://www.city24.ee/ru/real-estate/skip/skip/4318761,https://c24ee.img-bcg.eu/object/24/8207/2v803688207.jpg,Laferme - elu mere ääres,2023-06-26T00:05:25+03:00,4,6,2025,59.4477058,24.8036719,"https://www.google.com/maps/dir//59.4477058,24.8036719/@59.4477058,24.8036719,15z/data=!4m2!4m1!3e0?entry=ttu"
425,1328948,"Tallinn, Kesklinna linnaosa, Pirita tee-20/4-15",Tallinn,Pirita tee-20/4 15,,4,137.1,1042000,7600,https://www.city24.ee/ru/real-estate/skip/skip/1328948,https://c24ee.img-bcg.eu/object/24/3474/2v614343474.jpg,Laferme - elu mere ääres,2023-06-26T00:05:18+03:00,4,6,2025,59.4477058,24.8036719,"https://www.google.com/maps/dir//59.4477058,24.8036719/@59.4477058,24.8036719,15z/data=!4m2!4m1!3e0?entry=ttu"
426,8415402,"Tallinn, Kesklinna linnaosa, Pirita tee-20/4-16",Tallinn,Pirita tee-20/4 16,,4,114.9,873000,7597,https://www.city24.ee/ru/real-estate/skip/skip/8415402,https://c24ee.img-bcg.eu/object/24/5160/2808065160.jpg,Laferme - elu mere ääres,2023-06-26T00:05:14+03:00,4,6,2025,59.4477058,24.8036719,"https://www.google.com/maps/dir//59.4477058,24.8036719/@59.4477058,24.8036719,15z/data=!4m2!4m1!3e0?entry=ttu"
427,7147269,"Tallinn, Kesklinna linnaosa, Pirita tee-20/4-17",Tallinn,Pirita tee-20/4 17,,3,99.1,746000,7527,https://www.city24.ee/ru/real-estate/skip/skip/7147269,https://c24ee.img-bcg.eu/object/24/4221/1128014221.jpg,Laferme - elu mere ääres,2023-06-26T00:05:11+03:00,4,6,2025,59.4477058,24.8036719,"https://www.google.com/maps/dir//59.4477058,24.8036719/@59.4477058,24.8036719,15z/data=!4m2!4m1!3e0?entry=ttu"
428,3324699,"Tallinn, Kesklinna linnaosa, Pirita tee-20/4-18",Tallinn,Pirita tee-20/4 18,,4,133.8,923000,6898,https://www.city24.ee/ru/real-estate/skip/skip/3324699,https://c24ee.img-bcg.eu/object/24/3031/3064333031.jpg,Laferme - elu mere ääres,2023-06-26T00:05:08+03:00,5,6,2025,59.4477058,24.8036719,"https://www.google.com/maps/dir//59.4477058,24.8036719/@59.4477058,24.8036719,15z/data=!4m2!4m1!3e0?entry=ttu"
429,5959517,"Tallinn, Kesklinna linnaosa, Pirita tee-20/4-19",Tallinn,Pirita tee-20/4 19,,2,68.5,403000,5883,https://www.city24.ee/ru/real-estate/skip/skip/5959517,https://c24ee.img-bcg.eu/object/24/1506/2v1464751506.jpg,Laferme - elu mere ääres,2023-06-26T00:05:04+03:00,5,6,2025,59.4477058,24.8036719,"https://www.google.com/maps/dir//59.4477058,24.8036719/@59.4477058,24.8036719,15z/data=!4m2!4m1!3e0?entry=ttu"
430,5982350,"Tallinn, Kesklinna linnaosa, Narva mnt-20/1",Tallinn,Narva mnt 20,1,3,79.3,267000,3366,https://www.city24.ee/ru/real-estate/skip/skip/5982350,https://c24ee.img-bcg.eu/object/24/6251/5576456251.jpg,,2023-05-05T13:28:52+03:00,3,4,,59.4376112663267,24.7670185647177,"https://www.google.com/maps/dir//59.4376112663267,24.7670185647177/@59.4376112663267,24.7670185647177,15z/data=!4m2!4m1!3e0?entry=ttu"
431,8532834,"Tallinn, Haabersti linnaosa, Jalami tn-8/1",Tallinn,Jalami tn 8,1,2,52.6,195000,3707,https://www.city24.ee/ru/real-estate/skip/skip/8532834,https://c24ee.img-bcg.eu/object/24/1633/7745831633.jpg,Kodu valmis! Köök koos tehnikaga hinnas!,2023-04-26T16:06:54+03:00,3,4,2024,59.4043028,24.6281134,"https://www.google.com/maps/dir//59.4043028,24.6281134/@59.4043028,24.6281134,15z/data=!4m2!4m1!3e0?entry=ttu"
432,6430598,"Tallinn, Haabersti linnaosa, Jalami tn-8/2",Tallinn,Jalami tn 8,2,4,76.8,269000,3502,https://www.city24.ee/ru/real-estate/skip/skip/6430598,https://c24ee.img-bcg.eu/object/24/9128/2v313319128.jpg,Valmis sissekolimiseks! Sisustatud kodu!,2022-12-02T12:18:52+02:00,1,4,2024,59.4043029,24.6281116,"https://www.google.com/maps/dir//59.4043029,24.6281116/@59.4043029,24.6281116,15z/data=!4m2!4m1!3e0?entry=ttu"
433,2665033,"Tallinn, Kesklinna linnaosa, Narva mnt-2",Tallinn,Narva mnt 2,,2,74.4,265000,3561,https://www.city24.ee/ru/real-estate/skip/skip/2665033,https://c24ee.img-bcg.eu/object/24/9431/1558879431.jpg,,2022-05-17T19:00:30+03:00,3,6,1948,59.4370056471445,24.7584400299359,"https://www.google.com/maps/dir//59.4370056471445,24.7584400299359/@59.4370056471445,24.7584400299359,15z/data=!4m2!4m1!3e0?entry=ttu"
434,5055440,"Tallinn, Nõmme linnaosa, Männiku tee-108b",Tallinn,Männiku tee 108b,,1,1000,100,0,https://www.city24.ee/ru/real-estate/skip/skip/5055440,https://c24ee.img-bcg.eu/object/24/9842/2v2393089842.jpg,,2022-04-24T09:56:24+03:00,1,1,,59.364667,24.715581,"https://www.google.com/maps/dir//59.364667,24.715581/@59.364667,24.715581,15z/data=!4m2!4m1!3e0?entry=ttu"
