#,id,address,city,street_with_building,apartment_number,rooms,area_m2,price,price_m2,link,img_url,object_important_note,date_published,floor,total_floors,year_built,latitude,longitude
1622,3933209,"Tallinn, Haabersti linnaosa, Astangu tn-50a/1",Tallinn,Astangu tn 50a,1,3,72.8,154999,2129,https://www.city24.ee/ru/real-estate/skip/skip/3933209,https://c24ee.img-bcg.eu/object/24/7047/2v2494277047.jpg,Meeleolukas kodu Astangul!,2025-05-24T20:04:47+03:00,3,5,2014,59.404252,24.6341
1623,2598188,"Tallinn, Kristiine linnaosa, Madara tn-6",Tallinn,Madara tn 6,,3,59,162250,2750,https://www.city24.ee/ru/real-estate/skip/skip/2598188,https://c24ee.img-bcg.eu/object/24/7169/661347169.jpg,,2025-05-24T19:44:46+03:00,1,3,1932,59.432276,24.718283
1624,5210169,"Tallinn, Põhja-Tallinna linnaosa, Lõime tn-29",Tallinn,Lõime tn 29,,2,39.2,114000,2908,https://www.city24.ee/ru/real-estate/skip/skip/5210169,https://c24ee.img-bcg.eu/object/24/0810/2v2432950810.jpg,,2025-05-24T18:08:18+03:00,2,4,1960,59.449391188178,24.687195639931
1625,2381866,"Tallinn, Kesklinna linnaosa, Narva mnt-5",Tallinn,Narva mnt 5,,4,114.1,569000,4986,https://www.city24.ee/ru/real-estate/skip/skip/2381866,https://c24ee.img-bcg.eu/object/24/3566/2665373566.jpg,,2025-05-24T17:03:30+03:00,8,8,,59.437689,24.758332
1626,4372848,"Tallinn, Kesklinna linnaosa, Kaarli pst-9",Tallinn,Kaarli pst 9,,2,56.8,239900,4223,https://www.city24.ee/ru/real-estate/skip/skip/4372848,https://c24ee.img-bcg.eu/object/24/1786/2v322731786.jpg,,2025-05-24T16:09:36+03:00,4,4,1953,59.431993616693,24.74116392553
1627,5137028,"Tallinn, Lasnamäe linnaosa, K. Kärberi tn-36",Tallinn,K. Kärberi tn 36,,2,52,122000,2346,https://www.city24.ee/ru/real-estate/skip/skip/5137028,https://c24ee.img-bcg.eu/object/24/8928/2v4138448928.jpg,,2025-05-24T16:05:57+03:00,5,9,1985,59.446247,24.887138
1628,8546349,"Tallinn, Kadriorg, J. Poska tn-21",Tallinn,J. Poska tn 21,,3,90,395000,4388,https://www.city24.ee/ru/real-estate/skip/skip/8546349,https://c24ee.img-bcg.eu/object/24/2745/2v937082745.jpg,,2025-05-24T14:05:35+03:00,,4,1999,59.436112,24.782317
1629,9327025,"Tallinn, Kristiine linnaosa, Vindi tn-1a",Tallinn,Vindi tn 1a,,4,80.2,255000,3179,https://www.city24.ee/ru/real-estate/skip/skip/9327025,https://c24ee.img-bcg.eu/object/24/5430/2v1708635430.jpg,Kena perekorter vaikses tänavas. Imelised vaated!,2025-05-24T14:04:36+03:00,4,5,1987,59.420351,24.727051
1630,2398488,"Tallinn, Kesklinna linnaosa, Gonsiori tn-24",Tallinn,Gonsiori tn 24,,2,45.1,194900,4321,https://www.city24.ee/ru/real-estate/skip/skip/2398488,https://c24ee.img-bcg.eu/object/24/2499/2v2178502499.jpg,,2025-05-24T12:04:40+03:00,1,6,1965,59.433725,24.771478
1631,3406478,"Tallinn, Haabersti linnaosa, Õismäe tee-127",Tallinn,Õismäe tee 127,,1,33.2,95000,2861,https://www.city24.ee/ru/real-estate/skip/skip/3406478,https://c24ee.img-bcg.eu/object/24/6017/2v3448236017.jpg,,2025-05-24T10:04:12+03:00,4,5,1976,59.41553,24.639012
1632,1303592,"Tallinn, Põhja-Tallinna linnaosa, Kopli tn-86",Tallinn,Kopli tn 86,,1,31.8,102000,3207,https://www.city24.ee/ru/real-estate/skip/skip/1303592,https://c24ee.img-bcg.eu/object/24/5453/2v3548935453.jpg,Kopli kutsub elama ja looma!,2025-05-24T00:01:35+03:00,3,4,1946,59.450193,24.710109
1633,7395468,"Tallinn, Haabersti linnaosa, Lahepea tn-7",Tallinn,Lahepea tn 7,,3,73.2,315000,4303,https://www.city24.ee/ru/real-estate/skip/skip/7395468,https://c24ee.img-bcg.eu/object/24/3875/2v1441373875.jpg,MÜÜDUD!,2025-05-23T22:03:17+03:00,5,5,2018,59.431567,24.686146
1634,5115526,"Tallinn, Põhja-Tallinna linnaosa, Kari tn-9",Tallinn,Kari tn 9,,2,39.6,99900,2522,https://www.city24.ee/ru/real-estate/skip/skip/5115526,https://c24ee.img-bcg.eu/object/24/3926/2v2442433926.jpg,,2025-05-23T22:01:23+03:00,4,4,1963,59.447173,24.695591
1635,2643101,"Tallinn, Mustamäe linnaosa, A. H. Tammsaare tee-129",Tallinn,A. H. Tammsaare tee 129,,4,60.9,159900,2625,https://www.city24.ee/ru/real-estate/skip/skip/2643101,https://c24ee.img-bcg.eu/object/24/7449/2v1105837449.jpg,,2025-05-23T20:47:31+03:00,5,5,1968,59.409008,24.677681
1636,3246262,"Tallinn, Haabersti linnaosa, Vahepere tn-1b",Tallinn,Vahepere tn 1b,,4,83.6,294900,3527,https://www.city24.ee/ru/real-estate/skip/skip/3246262,https://c24ee.img-bcg.eu/object/24/5342/2v129055342.jpg,,2025-05-23T18:16:50+03:00,1,2,2026,59.43781,24.5720039
1637,6794529,"Tallinn, Haabersti linnaosa, Vahepere tn-1b",Tallinn,Vahepere tn 1b,,2,41.4,173880,4200,https://www.city24.ee/ru/real-estate/skip/skip/6794529,https://c24ee.img-bcg.eu/object/24/8195/2v2128588195.jpg,,2025-05-23T18:16:45+03:00,1,3,2026,59.43781,24.5720039
1638,2953220,"Tallinn, Haabersti linnaosa, Vahepere tn-1b",Tallinn,Vahepere tn 1b,,2,40,168000,4200,https://www.city24.ee/ru/real-estate/skip/skip/2953220,https://c24ee.img-bcg.eu/object/24/9087/2v2028709087.jpg,,2025-05-23T18:16:41+03:00,1,3,2026,59.43781,24.5720039
1639,8293117,"Tallinn, Haabersti linnaosa, Vahepere tn-1b",Tallinn,Vahepere tn 1b,,4,112.3,393900,3507,https://www.city24.ee/ru/real-estate/skip/skip/8293117,https://c24ee.img-bcg.eu/object/24/3891/2v1664013891.jpg,,2025-05-23T18:16:37+03:00,1,3,2026,59.43781,24.5720039
1640,6434529,"Tallinn, Haabersti linnaosa, Vahepere tn-1b",Tallinn,Vahepere tn 1b,,4,83.6,294900,3527,https://www.city24.ee/ru/real-estate/skip/skip/6434529,https://c24ee.img-bcg.eu/object/24/2138/2v2585402138.jpg,,2025-05-23T18:16:32+03:00,2,2,2026,59.43781,24.5720039
